Hour;Year;Month;Day;Season;Daytime;Value;Max_Temp;Avrg_Temp;Min_Temp
1;2017;8;1;2;4;;91;81;68
2;2017;8;1;2;4;;91;81;68
3;2017;8;1;2;4;;91;81;68
4;2017;8;1;2;4;;91;81;68
5;2017;8;1;2;4;;91;81;68
6;2017;8;1;2;1;;91;81;68
7;2017;8;1;2;1;;91;81;68
8;2017;8;1;2;1;;91;81;68
9;2017;8;1;2;1;;91;81;68
10;2017;8;1;2;1;;91;81;68
11;2017;8;1;2;1;;91;81;68
12;2017;8;1;2;2;;91;81;68
13;2017;8;1;2;2;;91;81;68
14;2017;8;1;2;2;;91;81;68
15;2017;8;1;2;2;;91;81;68
16;2017;8;1;2;2;;91;81;68
17;2017;8;1;2;2;;91;81;68
18;2017;8;1;2;3;;91;81;68
19;2017;8;1;2;3;;91;81;68
20;2017;8;1;2;3;;91;81;68
21;2017;8;1;2;3;;91;81;68
22;2017;8;1;2;3;;91;81;68
23;2017;8;1;2;3;;91;81;68
24;2017;8;1;2;4;;91;81;68
1;2017;8;2;2;4;;95;82;64
2;2017;8;2;2;4;;95;82;64
3;2017;8;2;2;4;;95;82;64
4;2017;8;2;2;4;;95;82;64
5;2017;8;2;2;4;;95;82;64
6;2017;8;2;2;1;;95;82;64
7;2017;8;2;2;1;;95;82;64
8;2017;8;2;2;1;;95;82;64
9;2017;8;2;2;1;;95;82;64
10;2017;8;2;2;1;;95;82;64
11;2017;8;2;2;1;;95;82;64
12;2017;8;2;2;2;;95;82;64
13;2017;8;2;2;2;;95;82;64
14;2017;8;2;2;2;;95;82;64
15;2017;8;2;2;2;;95;82;64
16;2017;8;2;2;2;;95;82;64
17;2017;8;2;2;2;;95;82;64
18;2017;8;2;2;3;;95;82;64
19;2017;8;2;2;3;;95;82;64
20;2017;8;2;2;3;;95;82;64
21;2017;8;2;2;3;;95;82;64
22;2017;8;2;2;3;;95;82;64
23;2017;8;2;2;3;;95;82;64
24;2017;8;2;2;4;;95;82;64
1;2017;8;3;2;4;;99;84;66
2;2017;8;3;2;4;;99;84;66
3;2017;8;3;2;4;;99;84;66
4;2017;8;3;2;4;;99;84;66
5;2017;8;3;2;4;;99;84;66
6;2017;8;3;2;1;;99;84;66
7;2017;8;3;2;1;;99;84;66
8;2017;8;3;2;1;;99;84;66
9;2017;8;3;2;1;;99;84;66
10;2017;8;3;2;1;;99;84;66
11;2017;8;3;2;1;;99;84;66
12;2017;8;3;2;2;;99;84;66
13;2017;8;3;2;2;;99;84;66
14;2017;8;3;2;2;;99;84;66
15;2017;8;3;2;2;;99;84;66
16;2017;8;3;2;2;;99;84;66
17;2017;8;3;2;2;;99;84;66
18;2017;8;3;2;3;;99;84;66
19;2017;8;3;2;3;;99;84;66
20;2017;8;3;2;3;;99;84;66
21;2017;8;3;2;3;;99;84;66
22;2017;8;3;2;3;;99;84;66
23;2017;8;3;2;3;;99;84;66
24;2017;8;3;2;4;;99;84;66
1;2017;8;4;2;4;;100;87;70
2;2017;8;4;2;4;;100;87;70
3;2017;8;4;2;4;;100;87;70
4;2017;8;4;2;4;;100;87;70
5;2017;8;4;2;4;;100;87;70
6;2017;8;4;2;1;;100;87;70
7;2017;8;4;2;1;;100;87;70
8;2017;8;4;2;1;;100;87;70
9;2017;8;4;2;1;;100;87;70
10;2017;8;4;2;1;;100;87;70
11;2017;8;4;2;1;;100;87;70
12;2017;8;4;2;2;;100;87;70
13;2017;8;4;2;2;;100;87;70
14;2017;8;4;2;2;;100;87;70
15;2017;8;4;2;2;;100;87;70
16;2017;8;4;2;2;;100;87;70
17;2017;8;4;2;2;;100;87;70
18;2017;8;4;2;3;;100;87;70
19;2017;8;4;2;3;;100;87;70
20;2017;8;4;2;3;;100;87;70
21;2017;8;4;2;3;;100;87;70
22;2017;8;4;2;3;;100;87;70
23;2017;8;4;2;3;;100;87;70
24;2017;8;4;2;4;;100;87;70
1;2017;8;5;2;4;;104;90;75
