Date;Max_Temp;Avrg_Temp;Min_Temp;Max_Hum;Min_Hum
2016-06-01;79;64;48;76;21
2016-06-02;82;67;46;71;15
2016-06-03;86;71;55;77;18
2016-06-04;82;71;59;88;23
2016-06-05;84;71;54;94;19
2016-06-06;86;72;55;77;22
2016-06-07;91;76;55;82;17
2016-06-08;95;78;57;72;14
2016-06-09;97;81;63;64;16
2016-06-10;90;79;66;64;22
2016-06-11;88;76;63;72;21
2016-06-12;90;76;59;63;24
2016-06-13;90;80;68;64;24
2016-06-14;86;74;59;63;27
2016-06-15;73;66;59;77;35
2016-06-16;70;61;55;63;27
2016-06-17;73;64;52;76;27
2016-06-18;73;66;55;67;27
2016-06-19;82;67;50;71;15
2016-06-20;91;76;57;59;21
2016-06-21;93;80;63;63;14
2016-06-22;95;82;63;55;9
2016-06-23;93;80;64;52;14
2016-06-24;95;80;61;55;13
2016-06-25;93;80;64;68;14
2016-06-26;91;77;63;63;21
2016-06-27;95;80;63;63;15
2016-06-28;99;82;66;49;16
2016-06-29;95;84;66;73;17
2016-06-30;93;81;64;59;14
2016-07-01;95;83;66;56;12
2016-07-02;97;84;66;52;14
2016-07-03;99;84;68;60;17
2016-07-04;95;82;70;65;20
2016-07-05;95;81;66;68;19
2016-07-06;97;80;66;94;17
2016-07-07;91;78;70;83;23
2016-07-08;95;82;68;78;23
2016-07-09;99;85;68;68;16
2016-07-10;102;88;73;57;16
2016-07-11;88;88;88;21;21
2016-07-12;93;82;68;46;10
2016-07-13;86;74;61;63;18
2016-07-14;88;72;55;58;10
2016-07-15;90;73;57;51;9
2016-07-16;95;80;63;47;16
2016-07-17;99;84;64;52;14
2016-07-18;100;86;66;49;11
2016-07-19;102;86;68;49;13
2016-07-20;100;88;79;45;18
2016-07-21;97;83;63;52;10
2016-07-22;91;81;66;44;21
2016-07-23;90;77;63;63;21
2016-07-24;93;79;64;59;20
2016-07-25;99;84;66;52;11
2016-07-26;100;86;68;46;13
2016-07-27;102;89;75;47;15
2016-07-28;100;87;72;41;17
2016-07-29;104;89;73;41;11
2016-07-30;97;87;75;43;12
2016-07-31;95;83;66;47;12
2016-08-01;95;82;68;64;16
2016-08-02;99;85;68;56;9
2016-08-03;100;86;66;46;10
2016-08-04;99;85;70;38;14
2016-08-05;93;82;70;64;18
2016-08-06;97;82;64;56;7
2016-08-07;97;84;68;37;14
2016-08-08;97;83;66;43;15
2016-08-09;95;81;68;57;15
2016-08-10;86;73;63;64;21
2016-08-11;88;74;61;39;8
2016-08-12;93;77;61;50;17
2016-08-13;93;80;63;55;19
2016-08-14;95;81;64;52;12
2016-08-15;95;82;64;56;16
2016-08-16;93;83;70;46;18
2016-08-17;93;81;64;56;10
2016-08-18;93;81;64;52;20
2016-08-19;95;82;64;52;20
2016-08-20;91;83;75;61;13
2016-08-21;91;78;64;59;21
2016-08-22;95;82;64;45;19
2016-08-23;99;84;70;56;18
2016-08-24;95;82;66;56;12
2016-08-25;95;81;63;48;12
2016-08-26;93;81;64;49;20
2016-08-27;97;84;68;56;17
2016-08-28;97;84;68;49;15
2016-08-29;95;83;68;57;13
2016-08-30;93;77;64;59;17
2016-08-31;93;80;66;64;19
2016-09-01;95;81;68;68;18
2016-09-02;95;81;64;60;20
2016-09-03;99;82;64;59;15
2016-09-04;100;84;64;52;16
2016-09-05;102;86;68;49;12
2016-09-06;104;87;68;38;10
